First Card,Second Card,Win Percentage,Tie Percentage,Loss Percentage
2♦,K♥,24.76,7.26,67.98
2♦,K♦,23.45,3.4,73.15
2♦,K♣,24.73,4.71,70.56
2♦,A♠,35.98,2.32,61.7
2♦,A♥,30.05,5.84,64.11
2♦,A♦,39.71,7.84,52.45
2♦,A♣,25.04,2.68,72.27
2♣,2♥,40.33,6.13,53.54
2♣,2♦,39.77,4.37,55.87
2♣,3♠,32.81,6.4,60.78
2♣,3♥,31.72,2.95,65.33
2♣,3♦,58.88,6.52,34.6
2♣,3♣,45.19,5.52,49.29
2♣,4♠,31.65,3.4,64.95
2♣,4♥,50.74,9.59,39.67
2♣,4♦,57.72,5.0,37.28
2♣,4♣,30.16,9.11,60.73
2♣,5♠,38.65,9.32,52.03
2♣,5♥,28.57,0.52,70.91
2♣,5♦,42.92,0.98,56.1
2♣,5♣,25.34,3.36,71.29
2♣,6♠,34.37,5.06,60.57
2♣,6♥,40.68,7.54,51.78
2♣,6♦,43.14,3.52,53.34
2♣,6♣,54.34,5.4,40.26
2♣,7♠,51.66,4.99,43.35
2♣,7♥,26.12,5.32,68.56
2♣,7♦,20.9,1.03,78.07
2♣,7♣,48.59,1.62,49.79
2♣,8♠,48.81,4.89,46.3
2♣,8♥,57.51,7.23,35.25
2♣,8♦,48.06,5.58,46.36
2♣,8♣,38.03,4.39,57.58
2♣,9♠,24.47,0.47,75.06
2♣,9♥,56.94,1.05,42.02
2♣,9♦,47.69,4.31,48.0
2♣,9♣,20.99,2.67,76.34
2♣,T♠,37.34,4.58,58.08
2♣,T♥,31.62,6.01,62.37
2♣,T♦,49.41,8.05,42.54
2♣,T♣,55.94,3.09,40.97
2♣,J♠,27.92,5.62,66.46
2♣,J♥,51.9,6.61,41.49
2♣,J♦,43.61,5.4,50.99
2♣,J♣,36.81,8.85,54.34
2♣,Q♠,27.92,5.8,66.28
2♣,Q♥,38.79,1.03,60.18
2♣,Q♦,34.55,9.85,55.6
2♣,Q♣,34.65,0.1,65.26
2♣,K♠,21.29,2.37,76.34
2♣,K♥,45.73,9.19,45.08
2♣,K♦,48.79,9.88,41.33
2♣,K♣,22.3,0.01,77.69
2♣,A♠,42.01,7.69,50.3
2♣,A♥,27.72,4.1,68.18
2♣,A♦,49.03,7.31,43.66
2♣,A♣,51.89,5.33,42.78
3♠,3♥,20.51,0.38,79.11
3♠,3♦,46.92,7.35,45.72
3♠,3♣,45.85,9.11,45.04
3♠,4♠,21.13,2.38,76.49
3♠,4♥,31.24,3.2,65.56
3♠,4♦,35.53,1.35,63.11
3♠,4♣,45.33,3.3,51.38
3♠,5♠,30.96,2.21,66.84
3♠,5♥,59.51,8.92,31.57
3♠,5♦,21.56,6.4,72.04
3♠,5♣,49.06,7.24,43.7
3♠,6♠,28.57,4.71,66.72
3♠,6♥,49.51,8.89,41.6
3♠,6♦,37.7,9.07,53.23
3♠,6♣,56.64,7.7,35.66
3♠,7♠,47.92,2.32,49.75
3♠,7♥,29.27,2.54,68.19
3♠,7♦,46.67,5.62,47.71
3♠,7♣,42.29,4.91,52.8
3♠,8♠,29.29,1.49,69.22
3♠,8♥,46.38,2.25,51.37
3♠,8♦,50.28,2.09,47.63
3♠,8♣,24.79,5.44,69.78
3♠,9♠,45.84,4.73,49.43
3♠,9♥,50.29,1.6,48.11
3♠,9♦,32.92,5.04,62.04
3♠,9♣,39.96,3.94,56.1
3♠,T♠,50.05,1.0,48.95
3♠,T♥,48.35,2.69,48.96
3♠,T♦,25.26,6.09,68.65
3♠,T♣,44.4,9.42,46.18
3♠,J♠,52.82,1.94,45.24
3♠,J♥,45.8,7.81,46.39
3♠,J♦,21.99,9.23,68.78
3♠,J♣,21.96,0.89,77.15
3♠,Q♠,40.93,7.94,51.13
3♠,Q♥,20.32,1.98,77.7
3♠,Q♦,38.08,8.27,53.65
3♠,Q♣,22.61,9.18,68.2
3♠,K♠,27.69,1.21,71.1
3♠,K♥,52.76,5.19,42.05
3♠,K♦,25.7,0.56,73.74
3♠,K♣,42.25,6.44,51.31
3♠,A♠,55.06,7.2,37.74
3♠,A♥,34.4,2.41,63.2
3♠,A♦,42.27,7.09,50.63
3♠,A♣,25.86,4.19,69.95
3♥,3♦,37.88,0.66,61.46
3♥,4♠,40.46,0.02,59.52
3♥,4♥,24.33,8.76,66.91
3♥,4♦,38.74,7.64,53.62
3♥,4♣,41.03,3.62,55.35
3♥,5♠,47.91,5.91,46.18
3♥,5♥,58.41,3.22,38.37
3♥,5♦,41.56,0.12,58.32
3♥,5♣,45.24,4.18,50.58
3♥,6♠,59.04,9.07,31.89
3♥,6♥,58.24,5.91,35.85
3♥,6♦,46.89,1.48,51.63
3♥,6♣,49.98,9.62,40.4
3♥,7♠,23.85,5.11,71.04
3♥,7♥,44.32,9.19,46.49
3♥,7♦,34.32,8.48,57.2
3♥,7♣,48.54,2.53,48.94
3♥,8♠,34.27,5.17,60.57
3♥,8♥,35.79,8.19,56.01
3♥,8♦,21.98,5.46,72.56
3♥,8♣,40.02,5.91,54.07
3♥,9♠,58.0,1.64,40.36
3♥,9♥,59.41,5.46,35.13
3♥,9♦,31.04,6.08,62.88
3♥,9♣,27.02,1.96,71.02
3♥,T♠,50.84,0.52,48.64
3♥,T♥,43.98,3.98,52.04
3♥,T♦,40.02,9.38,50.61
3♥,T♣,36.9,8.75,54.35
3♥,J♠,57.53,8.93,33.55
3♥,J♥,36.37,1.78,61.85
3♥,J♦,53.56,7.04,39.4
3♥,J♣,53.61,9.11,37.28
3♥,Q♠,31.02,5.02,63.96
3♥,Q♥,45.76,5.54,48.7
3♥,Q♦,45.68,7.92,46.39
3♥,Q♣,42.0,1.15,56.85
3♥,K♠,26.29,0.8,72.91
3♥,K♥,30.34,8.89,60.77
3♥,K♦,44.12,3.09,52.79
3♥,K♣,24.59,0.49,74.93
3♥,A♠,50.21,4.84,44.95
3♥,A♥,39.54,6.91,53.56
3♥,A♦,52.22,2.9,44.88
3♥,A♣,48.7,1.42,49.88
3♦,4♠,59.32,2.72,37.96
3♦,4♥,22.61,1.64,75.74
3♦,4♦,29.46,0.56,69.98
3♦,4♣,39.28,5.46,55.26
3♦,5♠,53.98,0.25,45.77
3♦,5♥,54.13,1.14,44.73
3♦,5♦,45.76,7.71,46.53
3♦,5♣,48.16,5.92,45.92
3♦,6♠,44.71,1.55,53.73
3♦,6♥,34.27,3.04,62.69
3♦,6♦,21.44,7.08,71.48
3♦,6♣,53.07,0.54,46.39
3♦,7♠,37.6,1.21,61.19
3♦,7♥,56.53,7.55,35.92
3♦,7♦,22.97,1.12,75.91
3♦,7♣,48.59,4.17,47.24
3♦,8♠,26.48,7.75,65.76
3♦,8♥,54.64,6.32,39.04
3♦,8♦,56.74,0.41,42.85
3♦,8♣,35.68,4.38,59.94
3♦,9♠,21.78,6.23,71.99
3♦,9♥,20.71,5.71,73.58
3♦,9♦,43.44,0.43,56.13
3♦,9♣,54.17,6.07,39.76
3♦,T♠,43.41,8.69,47.9
3♦,T♥,33.4,1.65,64.94
3♦,T♦,56.23,5.73,38.05
3♦,T♣,27.35,9.54,63.12
3♦,J♠,22.49,4.33,73.18
3♦,J♥,22.68,3.41,73.92
3♦,J♦,48.2,3.28,48.52
3♦,J♣,23.46,9.46,67.08
3♦,Q♠,30.89,4.87,64.24
3♦,Q♥,28.69,6.34,64.97
3♦,Q♦,32.24,2.91,64.84
3♦,Q♣,39.62,2.71,57.67
3♦,K♠,35.28,0.84,63.88
3♦,K♥,25.66,4.75,69.59
3♦,K♦,58.1,8.16,33.75
3♦,K♣,40.09,1.09,58.81
3♦,A♠,48.2,9.46,42.34
3♦,A♥,28.35,3.08,68.57
3♦,A♦,30.32,7.82,61.86
3♦,A♣,35.07,1.9,63.03
3♣,3♥,30.62,3.45,65.93
3♣,3♦,25.22,5.27,69.5
3♣,4♠,49.83,0.82,49.34
3♣,4♥,53.52,2.87,43.61
3♣,4♦,23.25,3.08,73.67
3♣,4♣,42.07,1.66,56.26
3♣,5♠,46.67,4.45,48.87
3♣,5♥,25.92,1.96,72.12
3♣,5♦,27.53,4.59,67.88
3♣,5♣,34.11,9.17,56.73
3♣,6♠,24.81,4.31,70.88
3♣,6♥,39.37,2.35,58.28
3♣,6♦,54.22,5.14,40.64
3♣,6♣,33.61,8.07,58.32
3♣,7♠,54.9,6.56,38.54
3♣,7♥,39.19,4.3,56.51
3♣,7♦,32.33,4.61,63.06
3♣,7♣,30.41,8.17,61.42
3♣,8♠,21.22,7.65,71.13
3♣,8♥,42.54,5.16,52.3
3♣,8♦,32.99,9.53,57.48
3♣,8♣,57.79,5.71,36.5
3♣,9♠,55.49,8.12,36.39
3♣,9♥,28.84,2.75,68.41
3♣,9♦,28.02,6.9,65.09
3♣,9♣,46.73,2.45,50.82
3♣,T♠,33.02,5.11,61.86
3♣,T♥,35.63,4.31,60.06
3♣,T♦,32.32,5.63,62.05
3♣,T♣,45.16,4.14,50.7
3♣,J♠,39.92,6.68,53.4
3♣,J♥,43.44,8.05,48.51
3♣,J♦,26.95,6.1,66.95
3♣,J♣,57.48,9.1,33.42
3♣,Q♠,31.53,1.79,66.68
3♣,Q♥,57.6,2.52,39.89
3♣,Q♦,56.48,0.73,42.79
3♣,Q♣,59.6,4.32,36.08
3♣,K♠,55.43,1.23,43.34
3♣,K♥,21.46,2.72,75.82
3♣,K♦,54.81,7.21,37.98
3♣,K♣,24.01,2.44,73.54
3♣,A♠,51.32,2.41,46.27
3♣,A♥,52.67,8.15,39.18
3♣,A♦,50.58,7.2,42.22
3♣,A♣,49.97,8.47,41.57
4♠,4♥,47.82,7.18,45.0
4♠,4♦,41.47,3.23,55.3
4♠,4♣,22.06,5.86,72.08
4♠,5♠,26.9,6.09,67.0
4♠,5♥,44.28,5.16,50.56
4♠,5♦,28.72,4.55,66.73
4♠,5♣,21.97,8.39,69.64
4♠,6♠,40.36,1.46,58.17
4♠,6♥,44.79,2.33,52.88
4♠,6♦,58.68,6.11,35.21
4♠,6♣,46.86,8.69,44.45
4♠,7♠,49.67,8.33,42.0
4♠,7♥,23.03,9.54,67.43
4♠,7♦,42.93,1.68,55.39
4♠,7♣,51.03,4.08,44.89
4♠,8♠,58.46,2.48,39.06
4♠,8♥,32.47,9.6,57.93
4♠,8♦,57.66,9.35,32.99
4♠,8♣,21.15,3.52,75.33
4♠,9♠,33.62,9.36,57.02
4♠,9♥,34.88,1.03,64.09
4♠,9♦,48.57,4.29,47.14
4♠,9♣,21.39,9.92,68.68
4♠,T♠,29.62,1.0,69.38
4♠,T♥,20.26,1.15,78.58
4♠,T♦,53.21,8.38,38.41
4♠,T♣,50.9,4.42,44.68
4♠,J♠,31.75,2.21,66.04
4♠,J♥,31.4,8.32,60.27
4♠,J♦,49.01,7.36,43.63
4♠,J♣,32.98,6.57,60.45
4♠,Q♠,43.73,6.5,49.76
4♠,Q♥,35.82,7.75,56.43
4♠,Q♦,26.54,3.63,69.83
4♠,Q♣,40.79,8.04,51.17
4♠,K♠,38.42,1.71,59.87
4♠,K♥,56.55,1.17,42.28
4♠,K♦,49.5,8.23,42.27
4♠,K♣,27.73,0.3,71.97
4♠,A♠,21.84,1.17,77.0
4♠,A♥,24.84,7.96,67.2
4♠,A♦,50.76,2.61,46.62
4♠,A♣,33.98,1.34,64.68
4♥,4♦,21.46,0.52,78.01
4♥,5♠,29.62,3.23,67.16
4♥,5♥,54.38,1.7,43.92
4♥,5♦,32.47,1.12,66.41
4♥,5♣,31.61,0.42,67.97
4♥,6♠,20.29,2.98,76.73
4♥,6♥,40.7,2.38,56.93
4♥,6♦,28.36,7.3,64.34
4♥,6♣,40.3,0.02,59.68
4♥,7♠,47.77,9.41,42.82
4♥,7♥,20.23,6.72,73.05
4♥,7♦,48.25,7.15,44.6
4♥,7♣,25.08,8.02,66.89
4♥,8♠,34.45,0.02,65.53
4♥,8♥,41.49,4.95,53.56
4♥,8♦,37.64,7.13,55.22
4♥,8♣,57.72,8.72,33.55
4♥,9♠,38.72,8.47,52.8
4♥,9♥,53.24,9.19,37.57
4♥,9♦,25.21,5.59,69.2
4♥,9♣,49.62,0.04,50.34
4♥,T♠,25.9,1.93,72.18
4♥,T♥,35.22,1.46,63.32
4♥,T♦,20.86,3.38,75.76
4♥,T♣,43.02,0.69,56.29
4♥,J♠,53.87,8.56,37.56
4♥,J♥,36.35,3.51,60.14
4♥,J♦,20.99,6.11,72.9
4♥,J♣,43.47,4.4,52.14
4♥,Q♠,51.26,1.33,47.41
4♥,Q♥,24.19,4.49,71.32
4♥,Q♦,43.08,7.21,49.71
4♥,Q♣,58.09,6.26,35.65
4♥,K♠,28.09,4.19,67.72
4♥,K♥,32.36,7.31,60.33
4♥,K♦,44.67,7.67,47.66
4♥,K♣,47.02,6.4,46.58
4♥,A♠,29.04,8.44,62.52
4♥,A♥,27.54,3.73,68.73
4♥,A♦,40.96,9.26,49.78
4♥,A♣,50.06,9.59,40.35
4♦,5♠,53.71,5.64,40.65
4♦,5♥,59.51,3.59,36.9
4♦,5♦,32.84,3.17,63.99
4♦,5♣,57.09,9.26,33.65
4♦,6♠,26.19,3.42,70.39
4♦,6♥,30.99,4.49,64.52
4♦,6♦,27.28,2.28,70.44
4♦,6♣,25.8,3.65,70.55
4♦,7♠,59.19,5.71,35.1
4♦,7♥,40.66,4.44,54.9
4♦,7♦,54.45,6.51,39.03
4♦,7♣,55.66,3.92,40.42
4♦,8♠,43.3,1.98,54.72
4♦,8♥,45.32,1.86,52.82
4♦,8♦,37.48,1.95,60.57
4♦,8♣,23.45,2.47,74.08
4♦,9♠,32.11,9.05,58.85
4♦,9♥,58.45,9.75,31.8
4♦,9♦,49.03,0.91,50.05
4♦,9♣,24.4,5.31,70.29
4♦,T♠,44.58,3.39,52.02
4♦,T♥,52.3,6.98,40.72
4♦,T♦,40.38,7.51,52.11
4♦,T♣,31.36,6.47,62.17
4♦,J♠,31.59,4.33,64.08
4♦,J♥,40.32,9.52,50.16
4♦,J♦,55.48,5.31,39.21
4♦,J♣,37.55,5.64,56.81
4♦,Q♠,20.02,9.98,70.0
4♦,Q♥,44.66,1.13,54.21
4♦,Q♦,34.07,1.52,64.41
4♦,Q♣,20.86,7.94,71.2
4♦,K♠,59.36,7.89,32.75
4♦,K♥,43.76,6.33,49.91
4♦,K♦,20.16,1.13,78.72
4♦,K♣,23.28,9.12,67.6
4♦,A♠,54.57,2.02,43.41
4♦,A♥,49.96,0.84,49.19
4♦,A♦,55.81,1.15,43.03
4♦,A♣,29.19,7.79,63.02
4♣,4♥,42.06,4.53,53.42
4♣,4♦,57.27,2.94,39.8
4♣,5♠,28.64,2.26,69.1
4♣,5♥,24.03,1.27,74.7
4♣,5♦,26.78,5.41,67.8
4♣,5♣,37.76,5.81,56.43
4♣,6♠,33.92,5.64,60.45
4♣,6♥,31.83,5.63,62.54
4♣,6♦,54.6,5.26,40.14
4♣,6♣,38.89,5.46,55.65
4♣,7♠,50.31,2.29,47.4
4♣,7♥,21.92,0.87,77.2
4♣,7♦,30.32,7.15,62.53
4♣,7♣,21.09,5.65,73.26
4♣,8♠,35.65,6.22,58.13
4♣,8♥,41.47,9.26,49.26
4♣,8♦,56.86,1.93,41.2
4♣,8♣,47.13,8.19,44.69
4♣,9♠,58.33,7.09,34.58
4♣,9♥,59.72,2.3,37.98
4♣,9♦,30.69,0.26,69.06
4♣,9♣,30.33,4.31,65.35
4♣,T♠,27.1,8.86,64.04
4♣,T♥,30.25,6.98,62.77
4♣,T♦,42.6,2.0,55.4
4♣,T♣,56.98,3.84,39.18
4♣,J♠,31.67,4.69,63.65
4♣,J♥,54.95,9.38,35.67
4♣,J♦,51.99,1.78,46.23
4♣,J♣,35.41,0.96,63.64
4♣,Q♠,37.91,0.93,61.16
4♣,Q♥,54.62,4.83,40.55
4♣,Q♦,22.8,8.47,68.73
4♣,Q♣,32.77,9.56,57.68
4♣,K♠,52.83,8.71,38.46
4♣,K♥,42.38,9.14,48.48
4♣,K♦,28.06,2.43,69.51
4♣,K♣,49.69,1.76,48.55
4♣,A♠,33.89,2.45,63.67
4♣,A♥,47.59,0.97,51.44
4♣,A♦,55.18,7.44,37.38
4♣,A♣,32.04,9.17,58.79
5♠,5♥,41.49,9.17,49.34
5♠,5♦,25.53,9.04,65.43
5♠,5♣,47.41,9.82,42.77
5♠,6♠,44.81,9.72,45.48
5♠,6♥,33.08,8.64,58.28
5♠,6♦,26.54,1.89,71.57
5♠,6♣,54.96,0.46,44.59
5♠,7♠,46.63,5.91,47.46
5♠,7♥,46.63,0.98,52.4
5♠,7♦,50.53,9.36,40.11
5♠,7♣,27.91,8.12,63.98
5♠,8♠,25.0,4.19,70.82
5♠,8♥,39.83,7.51,52.66
5♠,8♦,34.62,5.86,59.53
5♠,8♣,33.57,6.88,59.55
5♠,9♠,48.75,0.2,51.05
5♠,9♥,38.54,7.93,53.53
5♠,9♦,41.38,9.42,49.2
5♠,9♣,23.26,5.88,70.86
5♠,T♠,39.74,1.84,58.42
5♠,T♥,55.64,3.75,40.6
5♠,T♦,35.2,7.25,57.56
5♠,T♣,36.19,6.27,57.54
5♠,J♠,50.53,3.13,46.34
5♠,J♥,49.94,9.27,40.8
5♠,J♦,34.07,2.44,63.49
5♠,J♣,30.9,3.02,66.07
5♠,Q♠,36.06,6.59,57.35
5♠,Q♥,22.64,5.2,72.16
5♠,Q♦,45.68,7.34,46.98
5♠,Q♣,57.7,8.35,33.95
5♠,K♠,45.52,9.25,45.24
5♠,K♥,44.55,0.47,54.98
5♠,K♦,22.61,5.31,72.09
5♠,K♣,58.26,6.45,35.29
5♠,A♠,31.1,8.71,60.19
5♠,A♥,46.49,0.92,52.59
5♠,A♦,47.96,6.72,45.32
5♠,A♣,54.43,6.51,39.06
5♥,5♦,35.29,5.2,59.51
5♥,6♠,52.12,0.3,47.58
5♥,6♥,31.87,6.69,61.43
5♥,6♦,54.38,4.0,41.61
5♥,6♣,22.66,0.61,76.73
5♥,7♠,38.64,7.43,53.93
5♥,7♥,20.63,7.81,71.56
5♥,7♦,29.19,6.25,64.56
5♥,7♣,21.07,6.89,72.04
5♥,8♠,58.54,2.41,39.05
5♥,8♥,23.98,8.26,67.76
5♥,8♦,41.27,6.85,51.88
5♥,8♣,58.29,1.43,40.28
5♥,9♠,45.45,8.34,46.21
5♥,9♥,43.06,5.4,51.55
5♥,9♦,50.72,9.6,39.68
5♥,9♣,58.78,9.89,31.33
5♥,T♠,50.51,2.26,47.23
5♥,T♥,52.06,0.67,47.28
5♥,T♦,46.72,3.82,49.46
5♥,T♣,58.7,4.31,36.99
5♥,J♠,38.63,1.86,59.5
5♥,J♥,21.44,1.35,77.21
5♥,J♦,38.5,9.54,51.96
5♥,J♣,42.62,9.26,48.12
5♥,Q♠,34.72,4.37,60.91
5♥,Q♥,37.47,6.88,55.64
5♥,Q♦,41.56,3.08,55.36
5♥,Q♣,28.88,8.24,62.89
5♥,K♠,27.17,9.42,63.41
5♥,K♥,45.13,9.81,45.06
5♥,K♦,36.57,8.91,54.52
5♥,K♣,36.99,8.13,54.87
5♥,A♠,24.63,7.93,67.43
5♥,A♥,58.27,3.17,38.56
5♥,A♦,46.01,2.82,51.17
5♥,A♣,27.72,1.31,70.98
5♦,6♠,45.93,3.61,50.46
5♦,6♥,56.51,2.29,41.2
5♦,6♦,33.51,6.37,60.12
5♦,6♣,44.86,5.8,49.35
5♦,7♠,23.33,9.74,66.93
5♦,7♥,29.82,0.6,69.58
5♦,7♦,35.04,6.67,58.29
5♦,7♣,27.23,3.43,69.33
5♦,8♠,26.33,1.07,72.6
5♦,8♥,58.24,5.46,36.3
5♦,8♦,59.4,7.08,33.52
5♦,8♣,40.28,1.58,58.14
5♦,9♠,31.17,6.04,62.79
5♦,9♥,20.76,1.93,77.31
5♦,9♦,23.31,1.83,74.86
5♦,9♣,27.56,3.09,69.35
5♦,T♠,57.1,8.18,34.72
5♦,T♥,34.66,6.49,58.85
5♦,T♦,41.39,8.25,50.36
5♦,T♣,54.26,6.38,39.37
5♦,J♠,56.02,7.12,36.86
5♦,J♥,29.49,2.12,68.4
5♦,J♦,52.8,0.48,46.72
5♦,J♣,50.69,3.81,45.5
5♦,Q♠,20.05,9.96,69.99
5♦,Q♥,26.36,2.84,70.8
5♦,Q♦,47.49,3.6,48.91
5♦,Q♣,52.2,7.8,40.0
5♦,K♠,23.41,1.02,75.57
5♦,K♥,52.53,8.85,38.62
5♦,K♦,47.05,2.42,50.53
5♦,K♣,33.3,6.42,60.27
5♦,A♠,48.2,8.38,43.42
5♦,A♥,32.02,9.39,58.58
5♦,A♦,30.6,3.75,65.65
5♦,A♣,35.91,0.73,63.36
5♣,5♥,53.12,7.86,39.02
5♣,5♦,21.48,8.48,70.04
5♣,6♠,50.93,7.49,41.58
5♣,6♥,37.5,8.19,54.31
5♣,6♦,30.47,0.86,68.67
5♣,6♣,59.16,7.19,33.65
5♣,7♠,51.52,2.38,46.09
5♣,7♥,23.36,1.33,75.31
5♣,7♦,22.97,5.4,71.63
5♣,7♣,28.93,0.06,71.02
5♣,8♠,26.85,6.4,66.75
5♣,8♥,54.65,1.29,44.07
5♣,8♦,23.06,7.01,69.93
5♣,8♣,35.85,7.58,56.57
5♣,9♠,22.59,0.83,76.57
5♣,9♥,46.73,9.71,43.56
5♣,9♦,20.57,1.66,77.77
5♣,9♣,31.3,8.48,60.23
5♣,T♠,21.11,4.58,74.31
5♣,T♥,55.7,7.89,36.41
5♣,T♦,52.27,0.72,47.0
5♣,T♣,30.4,5.99,63.61
5♣,J♠,32.88,6.2,60.92
5♣,J♥,32.22,2.79,64.99
5♣,J♦,33.02,9.45,57.53
5♣,J♣,28.63,1.09,70.28
5♣,Q♠,53.55,1.74,44.7
5♣,Q♥,44.83,1.16,54.01
5♣,Q♦,47.08,1.75,51.17
5♣,Q♣,37.04,9.93,53.03
5♣,K♠,43.41,3.43,53.15
5♣,K♥,53.9,3.93,42.18
5♣,K♦,44.79,7.45,47.76
5♣,K♣,48.28,2.29,49.43
5♣,A♠,57.1,2.78,40.12
